1,75
2,41
3,26
3,0
4,84
5,6
6,8
7,34
8,66
8,28
9,36
10,30
11,5
11,60
11,88
12,47
12,41
13,50
13,56
14,17
14,58
14,59
15,18
16,62
16,56
17,17
17,58
18,44
18,52
18,25
18,18
19,42
19,34
19,24
20,84
20,61
21,17
22,59
22,44
23,25
23,18
23,60
24,4
24,29
24,67
24,70
24,80
24,83
24,10
24,23
25,55
26,70
26,80
26,83
26,10
26,23
26,46
26,55
27,87
28,76
29,67
30,80
31,23
32,55
33,59
33,44
34,25
35,75
35,76
36,26
37,47
37,41
37,86
38,50
39,67
39,70
39,80
39,83
39,10
40,46
40,55
40,56
41,17
41,58
41,59
42,52
42,25
42,18
43,81
44,67
44,70
45,83
46,23
46,46
46,55
46,56
47,17
47,58
47,59
47,44
48,25
49,67
49,70
49,80
49,83
49,10
50,55
50,40
50,29
51,80
51,83
51,10
52,46
52,55
53,48
54,24
54,56
55,17
55,58
55,59
56,52
56,25
56,18
57,57
58,16
58,60
59,86
60,50
61,8
61,42
61,34
61,0
62,78
62,17
62,58
62,59
62,44
63,25
63,18
64,67
64,70
65,83
65,10
65,23
65,46
65,55
65,29
65,67
66,80
67,10
67,23
67,46
67,55
68,88
69,41
69,86
70,50
71,67
71,70
72,83
72,10
72,23
72,46
72,55
73,34
74,66
75,84
75,60
76,75
77,86
78,65
79,36
80,21
80,60
81,75
82,26
82,50
82,0
82,28
83,5
83,60
83,88
84,76
84,47
84,41
84,86
84,26
85,63
85,36
85,20
86,78
86,17
86,58
86,59
87,63
88,30
89,5
90,67
90,70
91,83
92,23
92,46
92,55
93,61
94,65
95,67
96,80
97,23
97,46
97,55
98,66
99,84
99,29
99,67
100,83
100,10
101,46
101,55
102,67
102,70
102,80
102,83
102,10
102,23
102,46
102,55
103,12
104,88
104,75
105,86
105,26
105,56
105,78
106,58
106,59
107,25
107,18
108,37
108,60
109,76
109,47
110,86
111,65
112,8
113,78
114,59
114,44
114,52
115,18
116,78
117,44
118,25
118,29
119,80
120,10
120,23
120,46
121,41
121,86
121,0
122,61
122,56
123,17
123,58
124,44
125,25
125,18
125,0
126,24
127,75
128,47
128,60
128,88
129,76
130,86
130,29
130,67
130,70
130,80
130,83
131,46
132,13
133,17
133,58
134,44
134,52
134,25
134,18
134,56
135,17
135,58
135,59
135,44
135,52
135,25
135,18
135,29
136,70
137,83
138,23
138,46
139,6
140,4
141,8
142,17
142,58
142,59
142,44
142,52
142,40
143,72
144,63
145,20
145,60
146,86
146,29
146,67
146,70
146,80
147,10
147,23
147,46
147,55
148,62
148,60
148,88
149,76
149,47
150,34
151,66
152,5
152,56
153,58
153,59
153,44
153,52
153,25
153,29
154,70
155,83
156,23
156,46
156,55
157,75
158,47
159,86
159,26
159,50
160,78
160,17
160,58
161,18
162,48
162,60
162,88
162,75
162,76
163,50
163,40
164,16
165,11
166,61
166,29
167,80
168,10
168,23
168,46
168,55
169,61
170,88
170,75
171,47
172,50
173,78
174,59
174,44
175,66
175,11
176,70
176,80
